,start_a,start_T,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,final_distance,calc_time
181,0.9999,100000,11,22,14,17,18,15,4,20,10,13,16,19,25,7,23,27,8,24,1,28,6,12,9,5,21,2,26,29,3,1864,14.90722299
182,0.9999,100000,3,29,2,20,18,17,14,22,11,25,7,23,8,28,6,12,9,26,5,21,13,10,4,15,19,16,27,24,1,2108,14.84531903
183,0.9999,100000,7,23,27,16,19,25,11,22,14,17,18,15,4,10,13,24,8,28,6,12,9,26,5,1,21,20,2,29,3,2065,14.90830493
184,0.9999,100000,2,21,13,10,20,3,29,26,5,9,12,6,28,1,8,24,16,27,23,7,25,19,4,15,11,22,14,18,17,1986,14.81729102
185,0.9999,100000,28,1,24,16,27,8,23,7,25,19,13,10,4,15,11,22,14,17,18,20,21,2,3,29,26,5,9,6,12,2037,15.25258684
186,0.9999,100000,16,27,23,7,25,11,22,14,17,18,15,19,4,20,10,13,24,21,2,3,29,26,5,9,12,6,28,1,8,2034,14.96868587
187,0.9999,100000,7,25,23,27,8,24,21,1,28,6,12,9,5,26,29,3,2,18,17,14,22,11,19,15,4,10,20,13,16,2112,14.54848719
188,0.9999,100000,17,18,14,22,11,19,25,7,23,27,16,13,5,3,29,26,9,12,6,28,8,24,1,21,2,20,10,4,15,2098,14.47296596
189,0.9999,100000,3,29,26,1,24,16,19,11,22,14,17,18,15,4,13,10,20,2,21,5,9,12,6,28,8,27,23,25,7,1990,14.15917587
190,0.9999,100000,17,18,4,10,20,13,21,2,3,29,26,5,9,12,6,28,1,8,23,27,24,16,19,15,14,22,11,25,7,1974,14.37696409
191,0.99999,100000,11,22,14,17,18,15,4,19,16,13,10,20,21,2,3,29,26,5,9,12,6,28,1,24,8,27,23,25,7,1910,26.96467285
