,start_a,start_T,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,final_distance,calc_time
18,0.99999,10000,70,67,68,69,50,51,55,56,66,65,71,72,73,64,63,62,61,57,58,59,60,41,40,28,29,26,27,43,42,54,53,52,49,47,48,44,45,46,24,25,21,22,23,1,2,3,4,30,31,19,20,5,10,11,17,38,39,34,33,32,35,36,37,18,16,15,74,14,13,12,9,6,7,8,75,76,114416.089,2.716716015
19,0.99999,10000,74,14,13,15,16,11,12,9,8,7,6,5,10,17,18,37,36,35,32,33,42,43,28,27,26,29,30,31,19,20,4,3,25,21,2,75,76,1,23,22,24,46,45,44,48,47,69,68,70,67,51,56,55,58,57,63,64,62,61,59,60,41,40,39,38,34,54,53,52,49,50,66,65,71,72,73,112176.2881,2.713759482
20,0.99999,10000,50,49,55,56,73,72,71,65,66,51,52,53,54,42,43,27,44,48,67,70,68,69,47,45,46,24,25,21,22,23,1,76,75,2,3,4,5,6,7,8,9,10,11,12,13,14,74,15,16,17,18,37,20,19,31,30,29,26,28,33,32,34,35,36,38,39,40,41,60,59,58,57,63,64,62,61,116174.1307,2.709577986
21,0.9999,10000,74,14,13,11,29,27,48,49,50,66,51,56,57,63,65,67,70,68,69,47,44,45,46,24,25,4,2,75,76,1,23,22,21,26,28,43,42,54,53,52,55,58,62,61,59,60,41,40,34,35,39,38,36,37,18,17,16,15,12,9,8,7,3,6,10,5,20,19,31,30,32,33,64,71,72,73,128534.678,13.98006606
22,0.9999,10000,73,72,71,64,63,58,59,60,40,34,32,33,42,54,53,43,28,19,20,10,9,6,7,8,12,11,17,18,38,39,41,61,62,57,56,55,27,26,24,46,45,67,70,68,69,47,44,48,49,50,66,65,51,52,25,21,22,23,1,76,75,2,3,4,5,37,36,35,29,30,31,16,15,13,14,74,135016.214,14.01379609
23,0.9999,10000,76,75,2,1,23,22,4,3,6,9,12,13,14,74,15,16,18,37,36,35,32,33,28,55,56,58,57,63,64,62,61,59,60,41,40,34,39,38,17,11,10,8,7,5,20,19,31,30,45,46,24,21,25,26,29,27,44,48,47,69,68,70,67,50,49,43,42,54,53,52,51,66,65,71,72,73,119781.7275,14.4939599
24,0.9999,10000,73,72,71,65,66,67,50,49,51,52,53,54,42,43,27,28,55,56,58,59,60,61,62,64,63,57,6,7,8,9,10,5,19,33,34,40,41,39,38,36,35,31,25,24,46,45,69,70,68,47,48,44,26,20,4,3,2,75,76,1,23,22,21,30,29,32,37,18,17,11,12,16,15,13,14,74,141226.6873,15.41875291
25,0.9999,10000,3,4,21,22,23,1,76,75,2,8,7,6,5,10,9,11,12,13,14,74,15,16,17,20,19,31,30,29,28,26,27,44,45,46,24,25,32,34,60,59,58,53,52,55,57,63,71,72,73,64,62,61,41,40,39,38,18,37,36,35,33,43,42,54,49,50,51,56,66,65,67,70,68,69,47,48,129146.4978,15.31409597
26,0.9999,10000,74,14,13,15,16,12,9,2,75,76,1,23,22,26,58,57,71,72,73,64,63,65,66,51,50,49,52,56,55,53,54,42,43,28,33,34,40,59,62,61,60,41,39,38,29,27,44,48,47,67,70,68,69,45,46,24,25,21,19,20,5,10,11,17,18,37,36,35,32,30,31,4,3,6,7,8,133872.5694,15.28884101
27,0.9999,10000,70,67,68,69,47,48,49,50,51,66,65,71,72,73,64,63,62,57,56,55,52,44,45,46,23,76,75,6,9,13,14,74,15,16,12,10,11,17,35,29,30,31,19,20,5,18,37,36,38,39,60,41,40,34,4,3,7,8,2,1,22,21,25,24,26,27,28,32,33,59,61,58,53,54,42,43,139554.3019,15.251858
28,0.9999,10000,49,52,53,54,42,43,28,27,23,1,76,75,2,8,7,6,3,4,5,10,20,19,31,30,50,67,70,68,69,47,48,44,45,46,24,22,21,25,26,29,32,33,34,35,36,37,18,17,11,16,15,74,14,13,12,9,55,56,57,58,59,40,38,39,41,60,61,62,63,64,73,72,71,65,66,51,130816.5676,15.30993795
29,0.9999,10000,74,14,13,11,17,18,37,38,39,61,62,59,34,33,32,29,30,21,25,24,22,23,1,76,75,2,3,4,20,19,31,28,43,53,67,70,68,69,47,48,44,45,46,26,27,42,54,52,66,65,71,72,73,64,63,35,10,9,5,6,7,8,12,15,16,36,40,41,60,58,57,55,56,51,50,49,135629.4021,15.28215098
30,0.9999,10000,28,27,26,25,21,22,24,45,69,70,67,68,47,46,23,76,75,30,33,59,61,62,63,65,66,50,49,48,44,43,42,54,53,55,58,57,56,51,52,29,31,19,20,5,6,4,3,1,2,7,8,9,10,32,34,40,41,60,39,38,37,18,17,11,16,15,74,14,13,12,36,35,64,71,72,73,154982.3661,15.47032714
31,0.9999,10000,74,14,13,11,32,33,31,20,4,3,2,75,76,1,23,22,21,25,24,27,26,19,10,9,12,15,16,17,18,37,36,61,62,73,72,71,64,63,51,50,48,47,46,45,44,55,56,57,58,59,60,41,40,39,38,35,34,53,49,69,68,70,67,65,66,52,54,42,43,28,29,30,5,6,7,8,138035.0146,15.19980288
32,0.9999,10000,21,22,23,1,76,75,2,3,4,10,11,17,36,35,30,31,19,20,9,12,15,16,18,37,38,39,34,54,53,52,55,56,58,59,60,61,62,57,65,66,51,50,49,45,46,24,25,26,28,43,42,33,32,29,27,44,48,47,69,68,67,70,71,72,73,64,63,41,40,5,6,7,8,13,14,74,135479.1514,15.33189178
33,0.9999,10000,74,14,13,12,10,9,8,7,6,3,4,5,11,15,16,17,20,19,31,30,29,32,34,33,28,43,42,54,53,52,55,56,65,66,50,49,48,44,27,26,2,75,76,1,23,22,21,25,24,46,45,47,69,68,70,67,51,58,59,60,41,61,62,64,73,72,71,63,57,40,39,38,35,36,37,18,124461.4557,15.24791098
34,0.9999,10000,65,56,58,61,62,73,72,71,64,63,57,55,28,27,43,42,54,52,51,66,50,49,26,20,5,4,25,21,22,23,1,76,75,2,3,6,9,19,31,30,29,32,11,15,16,17,18,37,36,38,39,34,33,45,44,48,53,59,60,41,40,35,10,12,13,14,74,8,7,24,46,47,69,68,67,70,145362.7882,15.41242409
35,0.9999,10000,63,57,55,52,50,49,53,54,42,28,29,31,5,10,9,6,8,7,3,22,24,44,48,26,30,19,20,4,21,25,27,43,67,70,68,69,47,45,46,23,1,76,75,2,32,33,34,39,38,37,18,17,16,15,74,14,13,12,11,36,35,40,41,60,61,62,64,73,72,71,65,66,51,56,58,59,142335.776,15.24288487
36,0.9999,10000,47,48,44,27,26,29,30,31,6,8,7,4,25,24,46,45,69,68,70,67,51,56,55,57,58,59,60,41,40,42,43,33,32,35,34,39,38,36,37,18,17,16,15,74,14,13,12,11,9,10,19,20,5,3,2,75,76,1,23,22,21,28,61,62,63,64,73,72,71,65,66,50,49,52,53,54,129145.3964,15.32094193
37,0.9999,10000,74,14,13,15,16,8,7,2,75,76,1,23,22,21,25,10,9,12,11,17,18,34,60,59,61,62,73,72,71,70,67,68,69,47,44,26,20,5,6,3,4,19,31,58,57,63,64,56,51,54,42,28,29,30,32,33,35,36,37,38,39,40,41,55,52,53,43,27,24,46,45,48,49,50,66,65,142836.7893,15.40636992
38,0.9999,10000,70,69,45,46,24,22,23,1,76,75,2,19,31,29,28,55,63,64,73,72,71,65,66,51,52,56,57,62,61,58,59,60,41,40,34,35,32,30,21,25,26,27,53,54,42,43,33,39,38,18,16,15,74,14,13,12,8,7,6,3,4,20,5,10,9,11,17,37,36,44,48,47,68,67,50,49,137274.0975,15.43984103
39,0.9999,10000,73,72,71,65,66,53,54,42,43,32,35,36,11,17,18,37,38,39,40,41,60,61,62,64,63,57,56,55,52,50,49,45,46,24,25,2,75,76,1,23,22,21,4,3,5,6,7,8,74,14,13,15,16,12,9,10,20,19,26,44,48,47,69,68,70,67,51,58,59,34,33,28,27,29,30,31,130177.7389,15.30138302
40,0.9999,10000,55,56,65,66,51,50,49,52,53,54,42,43,33,32,29,26,25,24,22,21,5,10,9,11,12,13,14,74,15,16,17,18,37,36,35,38,39,40,41,60,59,61,62,64,73,72,71,63,57,58,34,28,27,46,45,67,70,68,69,47,48,44,30,31,19,20,4,3,23,1,76,75,2,8,7,6,128793.0584,15.29822779
