,start_a,start_T,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,final_distance,calc_time
27,0.99999,10000,41,16,22,1,8,9,46,33,15,12,11,23,14,5,48,25,13,47,20,21,39,32,24,10,45,35,4,26,42,2,29,34,3,40,38,31,44,18,7,36,28,30,6,37,19,27,43,17,11200,7.890283636
28,0.99999,10000,17,43,27,19,37,6,30,28,36,7,18,44,46,31,38,9,8,1,16,22,3,23,13,25,14,34,41,29,2,42,10,26,4,35,45,24,5,48,39,32,21,47,20,33,15,40,12,11,10747,6.362602448
29,0.99999,10000,2,42,10,26,4,35,45,24,32,39,48,5,29,34,14,25,13,21,47,20,33,15,12,11,23,3,40,46,36,6,37,19,27,17,43,30,28,7,18,44,31,38,9,8,1,22,16,41,10457,4.858251584
30,0.99999,10000,17,43,27,19,37,6,30,28,7,18,36,33,46,44,31,38,9,8,1,22,16,41,34,3,23,11,40,15,12,20,47,21,13,14,25,39,32,24,10,45,35,4,26,2,29,5,48,42,10322,4.93415645
31,0.99999,10000,45,35,10,26,4,2,29,34,41,16,38,31,44,18,7,30,43,17,27,19,37,6,28,36,46,33,12,11,48,5,42,24,32,39,21,47,20,15,40,9,8,1,22,3,23,14,25,13,11686,4.803209217
32,0.99999,10000,45,35,10,24,42,26,4,2,29,5,48,32,39,25,14,23,11,12,15,40,9,8,1,22,16,41,34,3,13,21,47,20,33,46,36,6,37,19,27,17,43,30,28,7,18,44,31,38,10397,4.453588549
33,0.99999,10000,17,43,27,19,37,6,30,28,36,7,18,44,31,38,8,1,9,40,23,14,25,13,11,12,15,46,33,20,47,21,32,39,48,5,42,24,10,45,35,4,26,2,29,34,3,22,16,41,10220,4.927112432
34,0.99999,10000,45,35,10,24,48,5,42,26,4,2,29,34,41,16,22,3,40,9,1,8,38,31,44,7,18,46,15,12,11,23,14,25,39,32,21,13,47,20,33,36,28,30,43,17,27,19,37,6,10814,4.459637348
35,0.99999,10000,45,35,10,24,42,26,4,2,29,5,48,39,32,21,13,47,20,33,46,9,40,15,12,11,23,25,14,34,41,3,22,16,1,8,38,31,44,18,7,36,28,30,6,37,19,27,43,17,10277,4.614591936
36,0.99999,10000,41,3,22,16,1,8,9,40,12,15,38,31,44,36,30,43,17,27,19,37,6,28,7,18,46,33,20,47,11,23,34,14,25,13,21,32,39,48,5,29,2,42,24,10,45,35,26,4,10393,9.577277251
37,0.99999,10000,45,35,4,26,2,42,10,24,48,5,29,41,34,3,22,16,1,8,9,40,12,15,38,31,44,18,7,28,6,37,19,27,17,43,30,36,46,33,20,47,21,32,39,25,14,13,23,11,10759,5.742000616
38,0.99999,10000,34,14,25,13,11,23,3,22,16,41,29,2,26,4,35,45,10,24,42,5,48,39,32,21,47,40,9,1,8,38,31,44,36,30,43,17,27,19,37,6,28,7,18,46,33,15,12,20,10766,8.305978735
39,0.99999,10000,8,38,31,44,36,30,43,17,27,19,37,6,28,7,18,46,15,33,20,47,21,13,25,48,5,29,2,41,16,22,1,9,40,12,11,23,3,34,14,39,32,24,45,35,10,42,26,4,11178,10.16985257
40,0.99999,10000,41,3,23,11,40,22,16,1,8,9,38,31,44,18,7,30,43,17,27,19,37,6,28,36,46,33,15,12,20,47,24,10,45,35,4,26,42,5,48,39,32,21,13,25,14,34,29,2,11241,9.725309416
