"","wojewodztwo","rok","frekwencja","ludność w tysiącach [tys. osób]","ludność wg grup wieku i płci; 0-14;ogółem;[osoba]","ludność wg grup wieku i płci; 0-4;ogółem;[osoba]","ludność wg grup wieku i płci; 10-14;ogółem;[osoba]","ludność wg grup wieku i płci; 15-19;ogółem;[osoba]","ludność wg grup wieku i płci; 20-24;ogółem;[osoba]","ludność wg grup wieku i płci; 25-29;ogółem;[osoba]","ludność wg grup wieku i płci; 30-34;ogółem;[osoba]","ludność wg grup wieku i płci; 35-39;ogółem;[osoba]","ludność wg grup wieku i płci; 40-44;ogółem;[osoba]","ludność wg grup wieku i płci; 45-49;ogółem;[osoba]","ludność wg grup wieku i płci; 50-54;ogółem;[osoba]","ludność wg grup wieku i płci; 55-59;ogółem;[osoba]","ludność wg grup wieku i płci; 5-9;ogółem;[osoba]","ludność wg grup wieku i płci; 60-64;ogółem;[osoba]","ludność wg grup wieku i płci; 65-69;ogółem;[osoba]","ludność wg grup wieku i płci; 70 i więcej;ogółem;[osoba]","ludność wg grup wieku i płci; 70-74;ogółem;[osoba]","ludność wg grup wieku i płci; 75-79;ogółem;[osoba]","ludność wg grup wieku i płci; 80-84;ogółem;[osoba]","ludność wg grup wieku i płci; 85 i więcej;ogółem;[osoba]","produkt krajowy brutto na 1 mieszkańca [zł]","przeciętne dalsze trwanie życia; kobiety [lata]","przeciętne dalsze trwanie życia; mężczyźni [lata]","Studenci uczelni na 10 tys. ludności; ogółem [osoba]","Studenci uczelni na 10 tys. ludności; w wieku 19-24 lata [osoba]","udział ludności w wieku poprodukcyjnym [%]","udział ludności w wieku produkcyjnym [%]","udział ludności w wieku przedprodukcyjnym [%]","współczynnik feminizacji ogółem [osoba]","współczynnik obciążenia demograficznego osobami starszymi [osoba]","współczynnik skolaryzacji brutto; szkoły podstawowe [%]","współczynnik skolaryzacji brutto; szkoły policealne, w tym kolegia (wiek 19-21 lat) [%]","współczynnik skolaryzacji brutto; szkoły specjalne przysposabiające do pracy (wiek 15-18 lat) [%]","współczynnik skolaryzacji brutto; szkoły zawodowe i ogólnozawodowe [%]","współczynnik skolaryzacji netto; szkoły podstawowe [%]","absolwenci studiów na 10 tys. ludności;[osoba]","km2","gęstość zaludnienia [osób na km2]","zmiana produktu krajowego brutto na 1 mieszkańca [%, 1 rok]","zmiana produktu krajowego brutto na 1 mieszkańca [%, 2 lata]","zmiana produktu krajowego brutto na 1 mieszkańca [%, 3 lata]","zmiana produktu krajowego brutto na 1 mieszkańca [%, 4 lata]","zmiana produktu krajowego brutto na 1 mieszkańca [%, 5 lat]","przeciętne dalsze trwanie życia; ogółem [lata]","syntetyczna_zmienna_obciazenia","syntetyczna_zmienna_obciazenia2","ludność deklarująca narodowość: angielska","ludność deklarująca narodowość: białoruska","ludność deklarująca narodowość: kaszubska","ludność deklarująca narodowość: niemiecka","ludność deklarująca narodowość: niepolska","ludność deklarująca narodowość: polska","ludność deklarująca narodowość: ukraińska","ludność deklarująca narodowość: śląska","post2005"
"45","podkarpackie",2010,0.446584095868681,2127.95,NA,0.0532912458387141,0.0585423140039136,0.0708480658361952,0.079712944113296,0.0856872442371712,0.0795588050083931,0.071369695124129,0.06343952013865,0.0657144817448547,0.0713664055700609,0.0664325444042805,0.0504899555816214,0.0528480959121182,0.033150716088927,0.0975479663976751,0.0346375945276858,0.0295627524732747,0.0204257810811166,0.0129218383155979,25961,81.8,73.7,345,3621,15.9,63.9,20.3,104,18.5,95.49,12.49,NA,47.1,93.74,98,17846,119.239605513841,0.0323696663617927,0.0336864757490482,0.0371062588321101,0.0406654343807763,0.0435387248609328,77.8294117647059,0.150802356064013,0.770246533036141,0,0,0,0,0.00292031931403295,0.98171965693876,0.00160373488282149,0,1
"46","podkarpackie",2014,0.490897074410642,2129.19,0.153580216298521,0.0493056739497282,0.0514172780502605,0.0595462023767757,0.0735219593206233,0.080220760318375,0.0831326698876144,0.0773999653388829,0.0686088164167826,0.0622505209734983,0.0657762798664467,0.0695401578161054,0.0528572642985327,0.0617822671282513,0.0456897397927002,0.0989504444654227,0.0303862460178462,0.0295356866259281,0.0224033868326267,0.0166251249890216,31384,82.8,75.1,279,3243,17.7,63.5,18.8,104,20.6,91.02,14.56,NA,47.01,90.51,91,17846,119.309088871456,0.0418617003618497,0.0430698818225289,0.0443935926773455,0.0485728592889334,0.0501451465383545,79.0254901960784,0.207242176751266,0.879286773342576,0.000279927962701112,8.12010356555968e-05,2.33882370925211e-06,0.000128416039286124,0.00400503123470037,0.983642952456436,0.00130850646658292,2.75542668246264e-05,1
"47","podkarpackie",2018,0.585691546645522,2129.02,0.151599683421676,0.0486694551236135,0.0515524784935757,0.0525801837939141,0.0615383170151455,0.0752216400542035,0.0795860996752019,0.0810656571231297,0.0753616108857852,0.0658689581801913,0.0617177427120053,0.0655810316038168,0.0513777498044871,0.0658868068097219,0.0562344558399072,0.107757812885301,0.0381594305347778,0.0263953048710319,0.0229857469299183,0.0202173305495734,39021,83.2,75.6,220,3031,19.8,62,18.2,104,24,93.09,14.09,0.99,52.77,92.29,70,17846,119.299562927267,0.0831945369753498,0.0880046982821906,0.0903827015289966,0.0954945195003824,0.0994920824619062,79.4745098039216,0.268770137622699,1.08225775152522,0.0011654517139909,0.000338072285703367,9.73745557381435e-06,0.000534647170099744,0.00942298618737458,0.990709429056132,0.00174384893804752,0.000114719398479,1
"48","podkarpackie",2022,0.699840269903699,2079.1,0.156312497054011,0.0473431266828211,0.0562888329458255,0.0510875389231292,0.0531047598525899,0.0586182084730975,0.0718292259431734,0.0808595843004995,0.0801443702990431,0.0740782781764015,0.0640066028633571,0.0614819503457749,0.0526805374253643,0.0647593331338879,0.0615723741738004,0.122145276461235,0.0495657251365736,0.0297912844897162,0.021156289891097,0.0216319769438478,55125,82.5,74.7,214,3393,21.7,59.5,18.7,104,27.8,90.63,14.59,1.17,42.47,89.99,64,17846,116.502297433599,0.135567732366513,0.154843415449048,0.156492996932442,0.168652776709977,0.18268376637797,78.6764705882353,0.369031696930411,1.32135789730101,0.00199242863112287,0.000577960367931465,1.66469232887551e-05,0.000914020131823208,0.0144220187070647,0.997278681309943,0.00210856242990416,0.000196121564995646,1
"49","podlaskie",2004,0.365024290154827,1202.43,NA,0.046350500031187,0.0723978626525563,0.0846472752978356,0.0851737114580951,0.0740470299602886,0.0674661621306942,0.0646609975674158,0.0711262656714556,0.0775823855957752,0.066212029856332,0.0506501444996569,0.056115766056095,0.0402345260619165,0.0416175645050627,0.101717778655633,0.0403584423144895,0.0326540116847205,0.0183828513212882,0.0103224733351352,18038,80.1,71.2,438,4236,16.5,61.1,22.4,105,21,97.73,16.18,NA,54.1,96.55,90,20187,59.5645712587309,0.0779896013864818,0.08052076263343,0.0834452330711682,0.0907068881629249,NA,75.7585365853659,0.139404285906824,0.827156485874289,0,0.0487847532351467,0,0,0.0497235123157704,0.925278975015341,0.00159272143964295,0,0
"50","podlaskie",2006,0.484821852831474,1196.1,NA,0.0453047025293015,0.0657101699605635,0.0798511162518884,0.089275905630043,0.0755245585448052,0.0696914391008786,0.064574814334241,0.0677743769129864,0.0765704568426914,0.070467293313859,0.0580661666531505,0.0514747500420115,0.0397834296602043,0.0400651784422887,0.105865641781087,0.0387183022169533,0.0347077713336917,0.0210843398676199,0.0113552283628222,20388,80.5,71,444,4200,16.8,62.3,21,105,21.1,96.71,19.6,NA,47.9,95.49,90,20187,59.2510031208203,0.0621516019796822,0.0661381527885575,0.0712962409609753,0.0736101684457333,0.0762836498497346,75.8658536585366,0.150351469530082,0.775383434492758,0,0.0440797213489232,0,0,0.0359190968784445,0.932847616865998,0.00167683364142235,0,1
"51","podlaskie",2010,0.447119275469935,1203.45,NA,0.050565541676915,0.0539574622252062,0.0684109325870333,0.0782593016067167,0.0840900479289508,0.0752072378698539,0.0689726519135019,0.0646434245600973,0.0685571790388949,0.0764636278426654,0.0663127945702681,0.0466060851819106,0.0519565448610991,0.0363422432876202,0.109654924849266,0.0364178593507987,0.0324982882517566,0.0251768252554327,0.0155619519912784,27345,81.9,72.5,441,4737,17.4,63.6,19,105,20.8,94.85,24.83,NA,46.07,92.67,124,20187,59.6150988259771,0.0460579166826059,0.0489470688673876,0.0520851358366499,0.0590543456935452,0.062724667882261,77.3146341463415,0.185062945908022,0.777159976200335,0,0.034669657576476,0,0,0.00831026600379269,0.947984900567313,0.00184505804498115,0,1
"52","podlaskie",2014,0.45938947568349,1191.92,0.144349695197153,0.0467305636797162,0.0475108186972594,0.0562446409904037,0.0714898172525291,0.0791849774900622,0.0808016994457672,0.073649361784955,0.067471084420237,0.0643215388978101,0.0696046204520781,0.0744094811891422,0.0501083128201772,0.0613230104755529,0.0450979010301044,0.112052171374205,0.0336701014667116,0.0316850655833707,0.025688847722746,0.0210081566013769,32357,82.8,74,322,3854,19,63.4,17.7,105,22.5,91.64,22.4,NA,42.99,90.81,101,20187,59.043939168772,0.0397493573264781,0.0410050717671628,0.0417172534736274,0.045236789175352,0.047320301442179,78.5073170731707,0.265304825072577,0.888865190150635,0.000248530906198913,0.0269951433654186,7.55533954844696e-06,0.00012128308222507,-0.0032264075015736,0.961908583941844,0.00194492515600194,1.73640259797641e-05,1
"53","podlaskie",2018,0.569683193173466,1181.53,0.145703082351487,0.0481873972203908,0.0488204730633846,0.0488577128188548,0.0593567847872213,0.0730686320229735,0.0791954181559042,0.078623280094589,0.0719793691754695,0.0659778440382114,0.0644273160377239,0.069835544161695,0.048695212067712,0.0700386701006235,0.0555803350393091,0.117356011215937,0.0378863730424796,0.0298231196250972,0.0249709487589428,0.0246755697894176,39770,82.7,74.1,252,3621,20.9,61.7,17.4,105,25.4,93.75,18.82,0.92,46.34,92.55,75,20187,58.5292514984891,0.0663056009866745,0.0718185514317245,0.0738363240080017,0.0764285935037241,0.0794665809768638,78.5048780487805,0.337704006579176,1.08286326035737,0.00103473324999155,0.0230753148067794,3.14558907997432e-05,0.000504949825995878,0.0200074032364164,0.973206765955815,0.00189690818970195,7.22933630660765e-05,1
"54","podlaskie",2022,0.70301466131877,1143.36,0.152160964879674,0.046520984296216,0.0539080163203904,0.048266723808441,0.0498856435665213,0.0582312580082302,0.0700840946162828,0.0806608621119425,0.0776119402985075,0.0715552037643602,0.0649046009332185,0.0645766188104307,0.0517319642630679,0.0695435800779285,0.0643221046831474,0.128196404441315,0.0496346279152144,0.0302696887668309,0.0237354102619047,0.0245566774973652,59818,82.6,73.7,250,4234,22.9,58.9,18.2,106,29.4,92.82,20.63,1.16,38.92,91.85,61,20187,56.6384306732055,0.181520107450423,0.202668430918514,0.21336367013373,0.231078702539603,0.246400514786712,78.2796116504854,0.421709548055693,1.34355617338557,0.0017689554428628,0.0187924966726692,5.37762454630291e-05,0.000863250256117047,0.0398797279585819,0.984758772047884,0.001863188126902,0.000123591020274681,1
